Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,14379.049805,14428.150391,14339.950195,14411.299805,14411.299805,13293900
2023-03-22,14470.049805,14497.150391,14432.200195,14460.000000,14460.000000,0
2023-03-23,14422.950195,14490.650391,14388.299805,14403.599609,14403.599609,11622300
2023-03-24,14409.000000,14434.099609,14257.500000,14279.000000,14279.000000,13960500
2023-03-27,14306.599609,14348.950195,14238.900391,14262.700195,14262.700195,14815600
2023-03-28,14289.950195,14300.200195,14177.500000,14211.799805,14211.799805,14615200
2023-03-29,14218.599609,14377.299805,14218.599609,14345.599609,14345.599609,19557100
2023-03-31,14442.299805,14577.150391,14438.799805,14557.849609,14557.849609,17405600
2023-04-03,14621.049805,14621.049805,14541.599609,14601.950195,14601.950195,13824900
2023-04-05,14620.700195,14718.900391,14611.250000,14709.400391,14709.400391,13452400
2023-04-06,14701.099609,14786.000000,14673.700195,14759.200195,14759.200195,13016900
2023-04-10,14797.349609,14833.450195,14767.000000,14790.549805,14790.549805,12063200
2023-04-11,14854.650391,14893.599609,14814.349609,14867.250000,14867.250000,12444900
2023-04-12,14902.200195,14949.900391,14871.900391,14941.549805,14941.549805,11965900
2023-04-13,14946.450195,14965.700195,14885.250000,14954.250000,14954.250000,12962500
2023-04-17,14970.349609,14970.349609,14794.450195,14904.299805,14904.299805,13960200
2023-04-18,14949.099609,14949.099609,14852.650391,14897.000000,14897.000000,15883500
2023-04-19,14901.250000,14905.599609,14832.900391,14856.900391,14856.900391,14657200
2023-04-20,14878.549805,14905.799805,14835.900391,14861.750000,14861.750000,11133000
2023-04-21,14879.599609,14888.650391,14789.950195,14847.099609,14847.099609,14464900
2023-04-24,14903.950195,14937.200195,14841.599609,14930.150391,14930.150391,15603800
2023-04-25,14945.799805,14981.299805,14916.349609,14955.700195,14955.700195,19990300
2023-04-26,14954.200195,15003.099609,14918.549805,14994.400391,14994.400391,21127900
2023-04-27,14999.900391,15085.849609,14989.200195,15075.049805,15075.049805,19847000
2023-04-28,15111.049805,15235.450195,15077.450195,15219.549805,15219.549805,22144800
2023-05-02,15276.200195,15327.750000,15261.150391,15300.750000,15300.750000,21880900
2023-05-03,15277.750000,15305.049805,15239.500000,15276.400391,15276.400391,21733900
2023-05-04,15282.250000,15414.700195,15272.700195,15405.500000,15405.500000,22255200
2023-05-05,15330.349609,15394.900391,15265.849609,15278.599609,15278.599609,21111500
2023-05-08,15321.900391,15440.849609,15310.750000,15427.099609,15427.099609,17561300
2023-05-09,15462.750000,15502.700195,15393.950195,15420.599609,15420.599609,18148500
2023-05-10,15458.049805,15476.099609,15372.450195,15466.049805,15466.049805,16332600
2023-05-11,15512.349609,15526.750000,15461.849609,15484.049805,15484.049805,15978800
2023-05-12,15475.049805,15506.150391,15401.650391,15477.349609,15477.349609,13497800
2023-05-15,15495.849609,15591.950195,15464.650391,15549.700195,15549.700195,13567700
2023-05-16,15584.400391,15592.250000,15476.650391,15492.400391,15492.400391,17817900
2023-05-17,15508.250000,15512.849609,15367.000000,15426.349609,15426.349609,17073900
2023-05-18,15506.650391,15514.900391,15346.849609,15361.599609,15361.599609,15928500
2023-05-19,15399.500000,15418.799805,15278.700195,15407.549805,15407.549805,13957600
2023-05-22,15409.049805,15517.650391,15386.900391,15504.000000,15504.000000,16992200
2023-05-23,15551.049805,15595.650391,15528.750000,15544.750000,15544.750000,14883100
2023-05-24,15517.200195,15591.400391,15493.299805,15515.950195,15515.950195,17595700
2023-05-25,15510.200195,15568.549805,15474.150391,15555.250000,15555.250000,17916200
2023-05-26,15589.500000,15704.000000,15567.849609,15696.750000,15696.750000,15551800
2023-05-29,15791.750000,15805.750000,15758.150391,15772.349609,15772.349609,17560100
2023-05-30,15784.250000,15823.900391,15759.349609,15799.450195,15799.450195,16359800
2023-05-31,15773.799805,15789.200195,15706.500000,15766.400391,15766.400391,34527400
2023-06-01,15801.950195,15823.950195,15743.400391,15760.349609,15760.349609,17566700
2023-06-02,15816.799805,15838.450195,15774.650391,15811.200195,15811.200195,18505700
2023-06-05,15877.450195,15899.150391,15851.750000,15859.500000,15859.500000,17899700
2023-06-06,15873.750000,15895.700195,15816.700195,15878.400391,15878.400391,17273800
2023-06-07,15938.299805,16016.000000,15920.250000,16006.700195,16006.700195,31132700
2023-06-08,16021.700195,16048.799805,15906.150391,15921.049805,15921.049805,23687500
2023-06-09,15947.950195,15961.700195,15866.799805,15877.400391,15877.400391,18992700
2023-06-12,15913.200195,15946.150391,15874.400391,15929.099609,15929.099609,17248900
2023-06-13,15964.799805,16057.500000,15964.299805,16048.200195,16048.200195,19119800
2023-06-14,16082.150391,16094.099609,16035.150391,16084.049805,16084.049805,20155200
2023-06-15,16106.849609,16138.700195,16039.049805,16058.250000,16058.250000,17043200
2023-06-16,16100.900391,16211.250000,16091.799805,16181.450195,16181.450195,20414800
2023-06-19,16231.049805,16244.950195,16117.849609,16142.150391,16142.150391,17333000
2023-06-20,16147.549805,16215.599609,16080.950195,16199.950195,16199.950195,16932200
2023-06-21,16244.549805,16277.349609,16201.400391,16240.950195,16240.950195,18561500
2023-06-22,16252.750000,16264.150391,16128.799805,16140.799805,16140.799805,17972000
2023-06-23,16126.700195,16133.950195,15999.400391,16011.799805,16011.799805,15066500
2023-06-26,16017.500000,16079.000000,15995.099609,16066.150391,16066.150391,13334300
2023-06-27,16118.650391,16171.200195,16104.200195,16163.500000,16163.500000,14832100
2023-06-28,16239.849609,16296.000000,16210.450195,16277.200195,16277.200195,20741900
2023-06-30,16354.950195,16437.449219,16326.000000,16430.000000,16430.000000,21663000
2023-07-03,16490.949219,16541.900391,16485.300781,16527.949219,16527.949219,22143300
2023-07-04,16597.500000,16599.250000,16499.150391,16556.050781,16556.050781,28937900
2023-07-05,16580.199219,16611.150391,16540.199219,16597.199219,16597.199219,23384400
2023-07-06,16600.750000,16703.300781,16590.699219,16695.050781,16695.050781,24845700
2023-07-07,16653.300781,16718.199219,16541.599609,16564.900391,16564.900391,21794000
2023-07-10,16620.900391,16623.949219,16530.750000,16553.750000,16553.750000,17837500
2023-07-11,16610.949219,16698.800781,16597.550781,16648.000000,16648.000000,19751600
2023-07-12,16697.099609,16703.250000,16627.300781,16641.050781,16641.050781,21120500
2023-07-13,16726.949219,16774.500000,16596.449219,16623.900391,16623.900391,21563600
2023-07-14,16695.699219,16786.000000,16655.050781,16765.449219,16765.449219,16827100
2023-07-17,16811.650391,16884.949219,16784.349609,16872.050781,16872.050781,20461300
2023-07-18,16932.949219,16940.150391,16818.300781,16872.000000,16872.000000,19999200
2023-07-19,16919.050781,16964.250000,16877.449219,16953.500000,16953.500000,19868200
2023-07-20,16965.449219,17051.000000,16912.699219,17042.550781,17042.550781,21616500
2023-07-21,16931.949219,16991.400391,16874.949219,16904.300781,16904.300781,23571800
2023-07-24,16921.750000,16948.400391,16852.199219,16865.150391,16865.150391,28840000
2023-07-25,16918.800781,16918.849609,16832.449219,16896.900391,16896.900391,22880300
2023-07-26,16950.699219,17011.000000,16931.599609,16975.000000,16975.000000,23136100
2023-07-27,17038.349609,17056.199219,16873.000000,16919.199219,16919.199219,24802600
2023-07-28,16935.050781,16960.500000,16880.599609,16948.349609,16948.349609,20685400
2023-07-31,16972.500000,17072.800781,16939.000000,17059.000000,17059.000000,24434300
2023-08-01,17096.599609,17102.099609,17026.300781,17051.150391,17051.150391,23309200
2023-08-02,17005.599609,17018.849609,16755.900391,16858.949219,16858.949219,24246300
2023-08-03,16818.349609,16878.750000,16691.650391,16772.300781,16772.300781,25498600
2023-08-04,16847.400391,16914.449219,16836.550781,16890.599609,16890.599609,26290700
2023-08-07,16948.349609,16970.050781,16897.500000,16956.349609,16956.349609,22503500
2023-08-08,16991.849609,16998.150391,16889.849609,16949.250000,16949.250000,23945400
2023-08-09,16966.849609,17011.949219,16881.750000,17003.849609,17003.849609,21148900
2023-08-10,16999.500000,17013.449219,16901.550781,16939.849609,16939.849609,23453800
2023-08-11,16970.050781,16972.050781,16845.800781,16860.150391,16860.150391,22768800
2023-08-14,16827.750000,16854.099609,16661.000000,16825.550781,16825.550781,20268700
